Step,AgentID,X,Y,velocity,current_lane
28,18,0.0,150.0,[0.5 0. ],1
28,19,0.0,150.0,[0.5 0. ],1
29,0,14.4,50.0,[0.4272 0.    ],0
29,1,0.0,50.0,[0.5 0. ],0
29,2,0.0,50.0,[0.5 0. ],0
29,3,0.0,50.0,[0.5 0. ],0
29,4,0.0,50.0,[0.5 0. ],0
29,5,0.0,50.0,[0.5 0. ],0
29,6,0.0,50.0,[0.5 0. ],0
29,7,0.0,50.0,[0.5 0. ],0
29,8,0.0,50.0,[0.5 0. ],0
29,9,0.0,50.0,[0.5 0. ],0
29,10,14.4,150.0,[0.5 0. ],1
29,11,0.0,150.0,[0.5 0. ],1
29,12,0.0,150.0,[0.5 0. ],1
29,13,0.0,150.0,[0.5 0. ],1
29,14,0.0,150.0,[0.5 0. ],1
29,15,0.0,150.0,[0.5 0. ],1
29,16,0.0,150.0,[0.5 0. ],1
29,17,0.0,150.0,[0.5 0. ],1
29,18,0.0,150.0,[0.5 0. ],1
29,19,0.0,150.0,[0.5 0. ],1
30,0,14.9,50.0,[0.4272 0.    ],0
30,1,0.0,50.0,[0.5 0. ],0
30,2,0.0,50.0,[0.5 0. ],0
30,3,0.0,50.0,[0.5 0. ],0
30,4,0.0,50.0,[0.5 0. ],0
30,5,0.0,50.0,[0.5 0. ],0
30,6,0.0,50.0,[0.5 0. ],0
30,7,0.0,50.0,[0.5 0. ],0
30,8,0.0,50.0,[0.5 0. ],0
30,9,0.0,50.0,[0.5 0. ],0
30,10,14.9,150.0,[0.5 0. ],1
30,11,0.0,150.0,[0.5 0. ],1
30,12,0.0,150.0,[0.5 0. ],1
30,13,0.0,150.0,[0.5 0. ],1
30,14,0.0,150.0,[0.5 0. ],1
30,15,0.0,150.0,[0.5 0. ],1
30,16,0.0,150.0,[0.5 0. ],1
30,17,0.0,150.0,[0.5 0. ],1
30,18,0.0,150.0,[0.5 0. ],1
